review,rating,date,bank,source,sentiment_label,sentiment_score
Overall good app but performance needs some improvement also sometimes when using instant other bank transfers it refuses causing to be repeated several times to transfer,4,2024-10-04,Bank of Abyssinia,Google Play,POSITIVE,0.11499999999999999
Ok,5,2024-10-04,Bank of Abyssinia,Google Play,POSITIVE,0.5
Just make it work please🤣 this is embarrassing for a bank of your size,1,2024-10-04,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Update to the simplest way it requires the developer option on and off why this is,5,2024-10-04,Bank of Abyssinia,Google Play,NEUTRAL,0.0
"Stop telling me what to do with my phone, BOA. Why does your newly updated app keep asking me to disable the developer options? I’m not slowing down my phone just to use your God damn app. 🤮🤮🤮🤮",1,2024-10-04,Bank of Abyssinia,Google Play,NEUTRAL,-0.009595959595959602
I'm living out of country how may I download and use mobile banking? It asks me the Ethiopia phone number and I can't receive text to confirm because I'm out side the country. So please lete know if I can use while I'm outside the country. Thanks,1,2024-10-04,Bank of Abyssinia,Google Play,NEUTRAL,0.1
Worest app,1,2024-10-03,Bank of Abyssinia,Google Play,NEUTRAL,0.0
The worest app ever,1,2024-10-03,Bank of Abyssinia,Google Play,NEUTRAL,0.0
አሪፍ ነው በርቱልን,5,2024-10-03,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Wwwerrr,5,2024-10-02,Bank of Abyssinia,Google Play,NEUTRAL,0.0
ጀማል ውቀቱ,5,2024-09-30,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Great For Financial company,5,2024-09-30,Bank of Abyssinia,Google Play,POSITIVE,0.4
Very easy to use,5,2024-09-30,Bank of Abyssinia,Google Play,POSITIVE,0.5633333333333334
The App's crash always.. Error.....,3,2024-09-27,Bank of Abyssinia,Google Play,NEUTRAL,0.0
This app is incredibly frustrating to use. It’s filled with issues that make it difficult to navigate and complete tasks efficiently. I’ve never encountered such a poorly designed banking application before. It needs significant improvements to enhance user experience. It deserves a vey low rating.,1,2024-09-26,Bank of Abyssinia,Google Play,NEUTRAL,-0.053125000000000006
Great UI and seamless UX. I love it!!,5,2024-09-25,Bank of Abyssinia,Google Play,POSITIVE,0.5604166666666667
That's too good application but try to add more alternatives and futures or possibilitys for your customers,3,2024-09-25,Bank of Abyssinia,Google Play,POSITIVE,0.6
It's easy used to operate program and secured 👍👍,4,2024-09-25,Bank of Abyssinia,Google Play,POSITIVE,0.43333333333333335
I bought a mobile card on this app but I didn't receive it and it took my money and I didn't get my money back.,1,2024-09-21,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Amazing,5,2024-09-19,Bank of Abyssinia,Google Play,POSITIVE,0.6000000000000001
Great app with great services,5,2024-09-19,Bank of Abyssinia,Google Play,POSITIVE,0.8
Yes active user,5,2024-09-17,Bank of Abyssinia,Google Play,NEGATIVE,-0.13333333333333333
Shameful,1,2024-09-17,Bank of Abyssinia,Google Play,NEUTRAL,0.0
The worest app ever made i would not recommende for no one,1,2024-09-16,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Good application,5,2024-09-16,Bank of Abyssinia,Google Play,POSITIVE,0.7
"How many hours should I wait after transferring money to telebirr, please do something about the transfer delay issue I need my money when ever.",1,2024-09-15,Bank of Abyssinia,Google Play,POSITIVE,0.5
"BOA is unreasonably holding and delaying transactions for more than a day, even transactions within the same bank itself. This is a huge gap that I observed in BOA mobile banking. I didn't experience this kind of challenge while having transactions in other banks' mobile banking platforms. After waiting so long, I called your customer support team and the response they gave me was ""it was the system that holds the transaction & will be released on working days"". This is not totally fair.",1,2024-09-15,Bank of Abyssinia,Google Play,POSITIVE,0.1392857142857143
የእርስዎን ተሞክሮ ይግለጹ (አማራጭ),5,2024-09-14,Bank of Abyssinia,Google Play,NEUTRAL,0.0
It's not working. It needs a big update. Can't you update the app quickly?,1,2024-09-14,Bank of Abyssinia,Google Play,POSITIVE,0.16666666666666666
"I am Aimohon Joel , It's can be Good for a Better Conversation in Time 🙂",3,2024-09-14,Bank of Abyssinia,Google Play,POSITIVE,0.6
"Better app than most mobile apps, but why do I have to turn off developer option every time I wanna use the app?? It's annoying.",1,2024-09-13,Bank of Abyssinia,Google Play,NEUTRAL,0.06666666666666665
Bes and freindly app,5,2024-09-13,Bank of Abyssinia,Google Play,NEUTRAL,0.0
It doesn't work.,1,2024-09-12,Bank of Abyssinia,Google Play,NEUTRAL,0.0
"It say ""The request was not successful. please check device connectivity or try again"" why? One of the bank manager told me it is because of my phone's android version which is 9.1 It is ridiculous! Disappointing",1,2024-09-11,Bank of Abyssinia,Google Play,NEGATIVE,-0.46388888888888885
How to download or screenshot of payment receipt...what kinda worst app ever 🤮🤮🤢,1,2024-09-11,Bank of Abyssinia,Google Play,NEGATIVE,-1.0
Smart technology,5,2024-09-10,Bank of Abyssinia,Google Play,POSITIVE,0.21428571428571427
Yegema app tish🪨,1,2024-09-08,Bank of Abyssinia,Google Play,NEUTRAL,0.0
"This is not an appropriate app, i don't know how boa develops this app, i don't expect this much crazy and un confortable app form BOA, I'm soory!!!",1,2024-09-07,Bank of Abyssinia,Google Play,NEGATIVE,-0.25
"Shockingly bad! Even when it decides to work, it's painfully slow and frustrating. Such a shame that it has become a stain on an extraordinary bank",1,2024-09-06,Bank of Abyssinia,Google Play,NEGATIVE,-0.2483333333333333
"It crashes frequently. It launches on Android 8.1 but I don't think it actually works on versions less than 10. If so, it shouldn't be available for download by such devices to begin with, like many other finance apps are not. It was so much better three months ago, upgrades should be for the better.",1,2024-09-06,Bank of Abyssinia,Google Play,POSITIVE,0.18981481481481483
Awesome application. But lately its crashing everytime i opened it.,4,2024-09-05,Bank of Abyssinia,Google Play,POSITIVE,0.35
እጅም በጣም ደካማ አፕ ነው ሲፈልግ ይከፍታል ሲፈልግ አይከፍትም ከአዋሽ እና ንግድ ባንክ የመሳሰሉ ባንኮች ሲወዳደር ሞባይል ባንኪንግ App እጅግ የሚያበሳጭ ነው ለውጥ ያስፈልጋችኋል,1,2024-09-05,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Fast one,3,2024-09-04,Bank of Abyssinia,Google Play,POSITIVE,0.2
Nice looking app but a terrible user experience.,1,2024-09-03,Bank of Abyssinia,Google Play,NEGATIVE,-0.2
The worest MB app ever!!🙄,1,2024-09-02,Bank of Abyssinia,Google Play,NEUTRAL,0.0
It is ok,5,2024-09-01,Bank of Abyssinia,Google Play,POSITIVE,0.5
Plz fix the Apps ....screenshot lovation hide from glarey share botten not work😔😔,1,2024-08-30,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Apollo's,1,2024-08-29,Bank of Abyssinia,Google Play,NEUTRAL,0.0
The worst experience ever,1,2024-08-29,Bank of Abyssinia,Google Play,NEGATIVE,-1.0
Hussenaliumar,5,2024-08-29,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Hi I have problem with this App BOA mobile I don't know what is wrong with this App I did many times download but it's sam doesn't work if sam like that this app way I have to be customer with them how I know my account and checking save The book is no Not enough alone,1,2024-08-28,Bank of Abyssinia,Google Play,NEUTRAL,0.0
It is not work for my device,5,2024-08-27,Bank of Abyssinia,Google Play,NEUTRAL,0.0
"I'm Sick and tiered of enabling and disabling Developer Option Everytime I use this app. maybe you know it maybe you dont, fix it please it's anoying",1,2024-08-26,Bank of Abyssinia,Google Play,NEGATIVE,-0.7142857142857143
The worst app ever,1,2024-08-26,Bank of Abyssinia,Google Play,NEGATIVE,-1.0
Betanya Gebre,3,2024-08-23,Bank of Abyssinia,Google Play,NEUTRAL,0.0
I dont recommand it to any one,1,2024-08-23,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Excellent app,5,2024-08-21,Bank of Abyssinia,Google Play,POSITIVE,1.0
"The application used to work well. But after updates I'm not able to use the forgot password feature, which is blocking me from accessing it as a whole.",1,2024-08-20,Bank of Abyssinia,Google Play,NEUTRAL,-0.024999999999999994
ትርሃስ,5,2024-08-19,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Gio,4,2024-08-19,Bank of Abyssinia,Google Play,NEUTRAL,0.0
App isn't working,1,2024-08-18,Bank of Abyssinia,Google Play,NEUTRAL,0.0
so far good but always it lugs,3,2024-08-17,Bank of Abyssinia,Google Play,POSITIVE,0.39999999999999997
Don't trust this bank and its service.,1,2024-08-16,Bank of Abyssinia,Google Play,NEUTRAL,0.0
"I can not open and use the application,please help me!",5,2024-08-15,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Horrible,1,2024-08-14,Bank of Abyssinia,Google Play,NEGATIVE,-1.0
Mostly not working 😑,1,2024-08-14,Bank of Abyssinia,Google Play,NEGATIVE,-0.25
Awesome 👌,5,2024-08-12,Bank of Abyssinia,Google Play,POSITIVE,1.0
"Despite the enhanced technology you have, the application doesn't work properly, and it asks for the developer option to be turned off, fix that.",3,2024-08-12,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Very poor app b/c highly slow to open the app,1,2024-08-12,Bank of Abyssinia,Google Play,NEGATIVE,-0.2733333333333334
Wedi Tekle .,5,2024-08-11,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Bad app📱👎👎👎,1,2024-08-11,Bank of Abyssinia,Google Play,NEGATIVE,-0.6999999999999998
Dura nan fayyadaman ture amma garuu naaf hojjechaa hin jiru maaf?,5,2024-08-11,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Nice appp,5,2024-08-11,Bank of Abyssinia,Google Play,POSITIVE,0.6
ሰላም አቢሲኒያዎች የሞባይል ባንኪንጋችሁ ተጠቃሚ ነኝ አገልግሎቱን ስላስጀመራችሁለን እናመሰግናለን። ነገር ግን አለፎ አልፎ የነበረው የማስፈንጠሪያው በአግባቡ አለመስራት አልፎ አልፎ ወደመስራት ተቀይሯል ድሮ እንደነበራችሁ እናውቃለን ዘንድሮም ብትኖሩልን እንመርጣለን *ከዘመን አንጉደል*,3,2024-08-10,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Gooood app my dear,5,2024-08-10,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Harun tamam galanaa,3,2024-08-09,Bank of Abyssinia,Google Play,NEUTRAL,0.0
"A total disaster of an app. Always offline, never works, it's embarassing. I've lost hope and taken my business to a competitor",1,2024-08-08,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Gamebela,1,2024-08-08,Bank of Abyssinia,Google Play,NEUTRAL,0.0
so poor app to use can't start up when open the app,1,2024-08-08,Bank of Abyssinia,Google Play,NEGATIVE,-0.2
"This app takes too long time to be opened. And even it is not working simply as other banks application. Why this app does not give a digital invoice. Even, I am not able to find where the screeshot is kept after transaction. So, please the developer should fix all these.",1,2024-08-07,Bank of Abyssinia,Google Play,NEGATIVE,-0.10625
Good job,5,2024-08-07,Bank of Abyssinia,Google Play,POSITIVE,0.7
"Worst app ever, not user friendly, even doesn't serve basic functionality correctly, takes to much time to login and navigate through the app, we expected more from this bank",1,2024-08-07,Bank of Abyssinia,Google Play,NEUTRAL,-0.00416666666666667
Bad app .,1,2024-08-06,Bank of Abyssinia,Google Play,NEGATIVE,-0.6999999999999998
"I mean how could a big financial company like this, be this much irresponsible to release this app? You should be ashamed!",1,2024-08-06,Bank of Abyssinia,Google Play,NEUTRAL,-0.015625
Review,5,2024-08-06,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Goood,4,2024-08-06,Bank of Abyssinia,Google Play,NEUTRAL,0.0
👎👎👎👎👎👎👎👎👎,1,2024-08-06,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Is it necessary to switch off developer options every time to use mobile banking?🤔🤔😡😡😡,1,2024-08-04,Bank of Abyssinia,Google Play,NEUTRAL,0.0
The previous version is better it doesn't work,1,2024-08-04,Bank of Abyssinia,Google Play,POSITIVE,0.16666666666666669
"I don't know what is wrong with BOA as a bank in general. It's been going backwards since last year or so. The app is a disaster to use in every possible way. Not stable to log in and very slow to perform transactions, couldn't take a screenshot (or can't even find the pictures even using its save screenshot option). Most of the time, it fails to perform transactions and so on. Simply, it's the worst!",1,2024-08-03,Bank of Abyssinia,Google Play,NEGATIVE,-0.20444444444444446
"Take some note from CBE mobile banking app, it's the best banking app currently take some note and improve ur app . Sometimes u have to learn from the bests 🙌",1,2024-08-03,Bank of Abyssinia,Google Play,POSITIVE,0.5
It's a useless app,1,2024-08-02,Bank of Abyssinia,Google Play,NEGATIVE,-0.5
"It's not working as it was , so much need to improve, it was the best but not anymore",2,2024-08-01,Bank of Abyssinia,Google Play,POSITIVE,0.6
Poor network,1,2024-08-01,Bank of Abyssinia,Google Play,NEGATIVE,-0.4
Not yet completely working this App. i don't know when is it will be working properly! Its Sad!!!,1,2024-07-31,Bank of Abyssinia,Google Play,NEGATIVE,-0.2921875
The app does not open sometimes it says coonection issue which i dont have and after it opens it has bugs while using its not smooth to work with please improve it,1,2024-07-31,Bank of Abyssinia,Google Play,NEUTRAL,-0.1
"It's not working totally, what a useless app is it,",1,2024-07-31,Bank of Abyssinia,Google Play,NEGATIVE,-0.25
"This app has become the most troubling every day. It doesn't work. I love the bank, and I hate the app",1,2024-07-31,Bank of Abyssinia,Google Play,NEUTRAL,0.06666666666666665
this is so disappointing app 😞,1,2024-07-31,Bank of Abyssinia,Google Play,NEGATIVE,-0.6
አቢስኒያ የሁሉም ምርጫ,5,2024-07-29,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Nays,5,2024-07-28,Bank of Abyssinia,Google Play,NEUTRAL,0.0
The worst app,1,2024-07-28,Bank of Abyssinia,Google Play,NEGATIVE,-1.0
it can't even open and only display error messages,1,2024-07-27,Bank of Abyssinia,Google Play,NEUTRAL,0.0
not active,1,2024-07-27,Bank of Abyssinia,Google Play,NEUTRAL,0.06666666666666667
To get good quality,5,2024-07-27,Bank of Abyssinia,Google Play,POSITIVE,0.7
አይሰራም እኮ ምንድን ነው ችግሩ?,1,2024-07-26,Bank of Abyssinia,Google Play,NEUTRAL,0.0
uselss app dont download,1,2024-07-26,Bank of Abyssinia,Google Play,NEUTRAL,0.0
"Is this app fake i try it not working it say please try again later, unable to make transactions what is the purpose of this app . If it is not working delete it",1,2024-07-25,Bank of Abyssinia,Google Play,NEGATIVE,-0.3333333333333333
"This app didn't work. They have a new version (new app) but still not compatible with my Samsung S8+ , which is v.funny.",1,2024-07-25,Bank of Abyssinia,Google Play,POSITIVE,0.13636363636363635
Corrupted and poor app,1,2024-07-24,Bank of Abyssinia,Google Play,NEGATIVE,-0.4
When I try to use the application it says 'developer setting should be off' where is the setting to off this play Still doesn't work for me,3,2024-07-24,Bank of Abyssinia,Google Play,NEUTRAL,0.0
FIX YOUR Apollo!! You guys where the best 👌,1,2024-07-23,Bank of Abyssinia,Google Play,POSITIVE,1.0
Always slow and doesn't work on weekends if you are in a rush or a merchant this app is not for you,1,2024-07-23,Bank of Abyssinia,Google Play,NEGATIVE,-0.30000000000000004
"It's very difficult to use the user, app,ones dawenload the user can't operate well , no one can help me,",1,2024-07-23,Bank of Abyssinia,Google Play,NEGATIVE,-0.65
Poor application. It turned off by itself,1,2024-07-23,Bank of Abyssinia,Google Play,NEGATIVE,-0.4
Allowed,5,2024-07-23,Bank of Abyssinia,Google Play,NEUTRAL,0.0
It usually crashes and the reason it gives is a problem on internet connection although the internet was fine.,1,2024-07-23,Bank of Abyssinia,Google Play,NEUTRAL,0.08333333333333334
we want international mobile banking,1,2024-07-22,Bank of Abyssinia,Google Play,NEUTRAL,0.0
"screenshot isn't working, Please modify it",2,2024-07-22,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Naziriet measho 89160437,1,2024-07-22,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Ahmed Mohammed husen,3,2024-07-21,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Is not working both this one and apollo did u make it better pls am gonne stop using this bank because of the mobile banking,1,2024-07-19,Bank of Abyssinia,Google Play,POSITIVE,0.5
I have experiance,5,2024-07-19,Bank of Abyssinia,Google Play,NEUTRAL,0.0
The App is not working on Android 9.1 at all. It shows an error notification and forcefully closes the app. Must be fixed ASAP.,1,2024-07-19,Bank of Abyssinia,Google Play,NEUTRAL,0.1
Crashes very frequently is not stable overall need improvement such a huge bank needs a better app than the current one,1,2024-07-19,Bank of Abyssinia,Google Play,POSITIVE,0.13916666666666666
ርይርፍ,3,2024-07-19,Bank of Abyssinia,Google Play,NEUTRAL,0.0
The previous application is much better than this one,1,2024-07-18,Bank of Abyssinia,Google Play,POSITIVE,0.16666666666666669
"Worst app. It is wise to invest money and you can make it like CBE app. Even the incon has no image. My app has better UI than yours. So, please invest more and hire professional developer companies and improve it.",1,2024-07-18,Bank of Abyssinia,Google Play,POSITIVE,0.15999999999999998
mal,5,2024-07-16,Bank of Abyssinia,Google Play,NEUTRAL,0.0
It is not working at all,1,2024-07-16,Bank of Abyssinia,Google Play,NEUTRAL,0.0
The poorest mobile banking survice ever. Only error reports frequently,1,2024-07-16,Bank of Abyssinia,Google Play,NEUTRAL,0.05
😞😞😞😞,1,2024-07-16,Bank of Abyssinia,Google Play,NEUTRAL,0.0
I like this mobile banking app very much. Overall user interface and navigation is awesome. But it lacks instant response when someone deposit or withdraw money.,2,2025-06-07,Dashen Bank,Google Play,POSITIVE,0.3333333333333333
love,3,2025-06-06,Dashen Bank,Google Play,POSITIVE,0.5
መቸሸጠ,5,2025-06-03,Dashen Bank,Google Play,NEUTRAL,0.0
gadaa,5,2025-06-01,Dashen Bank,Google Play,NEUTRAL,0.0
Massive upgrade from the Amole app.,5,2025-05-31,Dashen Bank,Google Play,NEUTRAL,0.0
very good for this app,5,2025-05-31,Dashen Bank,Google Play,POSITIVE,0.9099999999999999
top,5,2025-05-31,Dashen Bank,Google Play,POSITIVE,0.5
this app better than Amole . but the biometric on new update doesn't work,4,2025-05-31,Dashen Bank,Google Play,POSITIVE,0.3181818181818182
wow to it saff and this app,5,2025-05-30,Dashen Bank,Google Play,NEUTRAL,0.1
it too slow,3,2025-05-29,Dashen Bank,Google Play,NEGATIVE,-0.30000000000000004
ዳሽን ባንክ ይለያል,4,2025-05-28,Dashen Bank,Google Play,NEUTRAL,0.0
real life changer,5,2025-05-28,Dashen Bank,Google Play,POSITIVE,0.2
👍👍👍,5,2025-05-28,Dashen Bank,Google Play,NEUTRAL,0.0
nice application,5,2025-05-27,Dashen Bank,Google Play,POSITIVE,0.6
useless app ever loading take long,1,2025-05-27,Dashen Bank,Google Play,NEGATIVE,-0.275
"Game changer app! Dashen Bank Super App is fast, secure, and easy to use. The three-click payment makes sending money super quick, and the QR code payment is perfect for cashless shopping. I also love the biometric login and easy airtime and bill payments. Everything I need is in one place. Dashen Bank has really raised the bar for digital banking in Ethiopia. Highly recommended!",5,2025-05-26,Dashen Bank,Google Play,POSITIVE,0.2974358974358975
very useful App,1,2025-05-26,Dashen Bank,Google Play,POSITIVE,0.39
"Simple, robust features? Yes, please! But the endless loading screen killed the fun—I couldn’t use it for days. Fix the glitch, and I’ll yeet a higher rating!",2,2025-05-26,Dashen Bank,Google Play,NEUTRAL,-0.0031250000000000028
Wawww,5,2025-05-24,Dashen Bank,Google Play,NEUTRAL,0.0
it is good but some times says duplicate transaction why?,5,2025-05-24,Dashen Bank,Google Play,POSITIVE,0.7
very Nice,5,2025-05-23,Dashen Bank,Google Play,POSITIVE,0.78
its best,5,2025-05-23,Dashen Bank,Google Play,POSITIVE,1.0
it is not as good as to the other mobile bank app.,1,2025-05-22,Dashen Bank,Google Play,POSITIVE,0.2875
"The best of best is now arrived **Empowering Your Financial Freedom** ""Experience seamless banking at your fingertips with Dashen Bank. Empowering your financial freedom, anytime, anywhere!"" **Innovation Meets Convenience** ""Dashen Bank Mobile Banking: Where innovation meets convenience. **Secure and Reliable** ""Bank with confidence",5,2025-05-22,Dashen Bank,Google Play,POSITIVE,0.4166666666666667
Nothing is changed in the updated version. You have been collecting comments but where is the feed back you improved in this version. superapp is mot functioning today.,4,2025-05-20,Dashen Bank,Google Play,NEUTRAL,0.0
The best app ever in finance sector,5,2025-05-18,Dashen Bank,Google Play,POSITIVE,1.0
Its good app than other compitators but it confuse when we transfer it needs OTP and PIN most user inter their pin instead of OTP we know the litrecy level of our society so if it is device based i dont know the needs of OTP so please try to fix,3,2025-05-18,Dashen Bank,Google Play,POSITIVE,0.35833333333333334
dashen bank or dashen super app?,1,2025-05-17,Dashen Bank,Google Play,POSITIVE,0.3333333333333333
wowwwe app,5,2025-05-17,Dashen Bank,Google Play,NEUTRAL,0.0
"Transferring to other bank accounts is a hastle and inconvenient .Get used to seeing "" please try again """,2,2025-05-17,Dashen Bank,Google Play,NEGATIVE,-0.3625
always lagging,1,2025-05-16,Dashen Bank,Google Play,NEUTRAL,0.0
Amazing Application...,5,2025-05-16,Dashen Bank,Google Play,POSITIVE,0.6000000000000001
"Dashen bank app is very good, but sometimes it is not working well",5,2025-05-15,Dashen Bank,Google Play,POSITIVE,0.9099999999999999
its my choice,5,2025-05-15,Dashen Bank,Google Play,NEUTRAL,0.0
wow apo,5,2025-05-15,Dashen Bank,Google Play,NEUTRAL,0.1
awesome app keep going,5,2025-05-14,Dashen Bank,Google Play,POSITIVE,1.0
"It grows ethiopian digital banking step ahead.All fetures in one,simple fast and convince.",5,2025-05-14,Dashen Bank,Google Play,NEUTRAL,0.1
Game changer,5,2025-05-13,Dashen Bank,Google Play,NEGATIVE,-0.4
Totally amazing,5,2025-05-13,Dashen Bank,Google Play,POSITIVE,0.6000000000000001
super 😎,5,2025-05-13,Dashen Bank,Google Play,POSITIVE,0.3333333333333333
what a helpful app!!!!,5,2025-05-13,Dashen Bank,Google Play,NEUTRAL,0.0
"To be honest, best banking and lifestyle app in Ethiopia.",5,2025-05-12,Dashen Bank,Google Play,POSITIVE,0.8
fast,5,2025-05-12,Dashen Bank,Google Play,POSITIVE,0.2
"A must have, seamless, all in one digital platform ""DB Superapp""! Keep living your motto ""Always one step ahead""",5,2025-05-12,Dashen Bank,Google Play,NEUTRAL,0.05
"This App makes digital banking effortless and convenient. User-friendly interface, secure transactions, and excellent features for managing finances efficiently.",4,2025-05-10,Dashen Bank,Google Play,POSITIVE,0.4666666666666666
Amazing app super easy to use and best design. loved it.,5,2025-05-09,Dashen Bank,Google Play,POSITIVE,0.6133333333333333
its the best ever,5,2025-05-09,Dashen Bank,Google Play,POSITIVE,1.0
excellent game changer App,5,2025-05-08,Dashen Bank,Google Play,POSITIVE,0.3
I am highly excited by using this application and it is the most favorable as well as preferrable mobile app.,5,2025-05-03,Dashen Bank,Google Play,POSITIVE,0.4375
it seems me logging out within minutes,1,2025-05-03,Dashen Bank,Google Play,NEUTRAL,0.0
nice app especially GUI and I have got some error when you send within dashen bank the receipter is not get SMS notification,4,2025-05-03,Dashen Bank,Google Play,POSITIVE,0.3
yes i want dashen super open,5,2025-05-02,Dashen Bank,Google Play,POSITIVE,0.16666666666666666
Best App,5,2025-05-02,Dashen Bank,Google Play,POSITIVE,1.0
faster than this version,5,2025-05-01,Dashen Bank,Google Play,NEUTRAL,0.0
"Best UI mobile banking app, props to design team",5,2025-04-30,Dashen Bank,Google Play,POSITIVE,1.0
bad.,1,2025-04-30,Dashen Bank,Google Play,NEGATIVE,-0.6999999999999998
Dashen bank always one step ahead,5,2025-04-30,Dashen Bank,Google Play,NEUTRAL,0.0
dashen super app is secure band very easy,5,2025-04-29,Dashen Bank,Google Play,POSITIVE,0.4322222222222223
It is very fast and secured mobile banking app! I like this app!,5,2025-04-29,Dashen Bank,Google Play,POSITIVE,0.40625
best app I have ever seen,5,2025-04-29,Dashen Bank,Google Play,POSITIVE,1.0
best of best,5,2025-04-29,Dashen Bank,Google Play,POSITIVE,1.0
Its slow when i try to see the Recent Transaction and stucked,1,2025-04-28,Dashen Bank,Google Play,NEGATIVE,-0.15000000000000002
wowslnwoooo wowwww amazing !!!!!!!!,5,2025-04-28,Dashen Bank,Google Play,POSITIVE,1.0
wow appl,5,2025-04-28,Dashen Bank,Google Play,NEUTRAL,0.1
why do i have to change a pin number i use my finger print so dummy,1,2025-04-27,Dashen Bank,Google Play,NEUTRAL,0.0
"It is very slow and it lacks many features to be a super app. High rating is given by their employees, not by the customers.",1,2025-04-25,Dashen Bank,Google Play,POSITIVE,0.15083333333333332
"Smooth and secure experience transfers, bill payments, and tracking expenses are all effortless. The intuitive design makes banking on the go.",5,2025-04-24,Dashen Bank,Google Play,POSITIVE,0.4
Very easy and Fast.,5,2025-04-24,Dashen Bank,Google Play,POSITIVE,0.3816666666666667
Incomparably user-friendly and fast app for mobile banking.,5,2025-04-24,Dashen Bank,Google Play,POSITIVE,0.30000000000000004
"there is nothing super about this app, repeatedly failed transaction and wastes customer valuable time. if you have to do system upgrade do it at a time when there is less traffic demand. your Technical difficulty should not be reflected on customer.",2,2025-04-24,Dashen Bank,Google Play,NEGATIVE,-0.10666666666666666
execellent,5,2025-04-24,Dashen Bank,Google Play,NEUTRAL,0.0
"This super app is a total game-changer—fast, reliable, and packed with everything I need in one place. It’s seamless and super convenient. Love it!""",5,2025-04-23,Dashen Bank,Google Play,POSITIVE,0.2783333333333333
All in One ✍️secure ✍️reliable ✍️convenient. Digital banking game changer!!,5,2025-04-23,Dashen Bank,Google Play,NEGATIVE,-0.3125
it is incredible product.,5,2025-04-23,Dashen Bank,Google Play,POSITIVE,0.9
"I'm really impressed with this app! It’s user-friendly, runs smoothly, and has all the features I need. Makes my tasks so much easier and saves me a lot of time. Highly recommended!",5,2025-04-23,Dashen Bank,Google Play,POSITIVE,0.44999999999999996
"It's an amazing app, experience it!!",5,2025-04-23,Dashen Bank,Google Play,POSITIVE,0.9375000000000001
This is the best banking app ever. I recommend everyone to use it.,5,2025-04-23,Dashen Bank,Google Play,POSITIVE,1.0
It is the best application!!!,5,2025-04-22,Dashen Bank,Google Play,POSITIVE,1.0
"Exceptional digital experience, SupperApp will bring new paradigm shift in the banking business. Bravo Dashen keep it up!!!!",5,2025-04-22,Dashen Bank,Google Play,POSITIVE,0.33319523358585856
its features are so dynamic,5,2025-04-22,Dashen Bank,Google Play,NEUTRAL,0.0
fast &Friendly user Application.,5,2025-04-22,Dashen Bank,Google Play,POSITIVE,0.2875
"Fast, Reliable and User Friendly. Keep it Up",5,2025-04-22,Dashen Bank,Google Play,POSITIVE,0.2875
"#dashen super app is easy to use, secure & fast transaction😍",5,2025-04-22,Dashen Bank,Google Play,POSITIVE,0.3416666666666666
i love this app esp 3 click that make e-commerce easier and convinient.,5,2025-04-22,Dashen Bank,Google Play,POSITIVE,0.5
Dashen Super App contains extended selections for customers and can be easily accessible and also friendly to use.,5,2025-04-22,Dashen Bank,Google Play,POSITIVE,0.3611111111111111
Great for everyday banking and payments on the go,5,2025-04-22,Dashen Bank,Google Play,POSITIVE,0.30000000000000004
"""Dashen Super App'' is impressive with its focus on simplicity, speed, and quality. The user interface is clean and easy to understand. Transactions process quickly, and the overall quality of the app is top-notch. A must-have for Dashen Bank customers. ዳሸን ባንክ አንድ እርምጃ ቀዳሚ።",5,2025-04-22,Dashen Bank,Google Play,POSITIVE,0.49523809523809526
making transactions has never been easier. the new update is just amazing,5,2025-04-22,Dashen Bank,Google Play,POSITIVE,0.3681818181818182
"The app has various usefull functions, which make easy the payment system. Also, it will connect with sellers having reasonable prices.",5,2025-04-22,Dashen Bank,Google Play,POSITIVE,0.2111111111111111
The app has great user interface with comprehensive payments and E-commerce platforms. And also it includes unique features such as chat Banking and budget.,5,2025-04-22,Dashen Bank,Google Play,POSITIVE,0.39166666666666666
betam mirt Ena betam le atikakem kelel Yale Ena michu application nw,5,2025-04-22,Dashen Bank,Google Play,NEUTRAL,0.0
Convenient!,5,2025-04-22,Dashen Bank,Google Play,NEUTRAL,0.0
It is an amazing application that meets the needs of customers.,5,2025-04-22,Dashen Bank,Google Play,POSITIVE,0.6000000000000001
